state,action,next_state,prob
"(1, 1, 1)","move(1, 2)","(2, 1, 1)",1.0
"(1, 1, 1)","move(1, 3)","(3, 1, 1)",1.0
"(1, 1, 2)","move(1, 2)","(2, 1, 2)",1.0
"(1, 1, 2)","move(1, 3)","(3, 1, 2)",1.0
"(1, 1, 2)","move(2, 3)","(1, 1, 3)",1.0
"(1, 1, 3)","move(1, 2)","(2, 1, 3)",1.0
"(1, 1, 3)","move(1, 3)","(3, 1, 3)",1.0
"(1, 1, 3)","move(3, 2)","(1, 1, 2)",1.0
"(1, 2, 1)","move(1, 2)","(2, 2, 1)",1.0
"(1, 2, 1)","move(1, 3)","(3, 2, 1)",1.0
"(1, 2, 1)","move(2, 3)","(1, 3, 1)",1.0
"(1, 2, 2)","move(1, 2)","(2, 2, 2)",1.0
"(1, 2, 2)","move(1, 3)","(3, 2, 2)",1.0
"(1, 2, 2)","move(2, 3)","(1, 3, 2)",1.0
"(1, 2, 3)","move(1, 2)","(2, 2, 3)",1.0
"(1, 2, 3)","move(1, 3)","(3, 2, 3)",1.0
"(1, 2, 3)","move(2, 3)","(1, 3, 3)",1.0
"(1, 3, 1)","move(1, 2)","(2, 3, 1)",1.0
"(1, 3, 1)","move(1, 3)","(3, 3, 1)",1.0
"(1, 3, 1)","move(3, 2)","(1, 2, 1)",1.0
